RANK,TITLE,AUTHOR,PUB YEAR,CATALOG RECORD
1,"Lego Ninjago, masters of spinjitzu.   #2, Mask of the Sensei","Farshtey, Greg.",2011,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9781597073110
2,Diary of a wimpy kid: hard luck,"Kinney, Jeff.",2013,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9781419711329
3,The house of Hades,"Riordan, Rick.",2013,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9781423146728
4,Wonder,"Palacio, R. J.",2012,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780375869020
5,Batman: meet the super heroes,"Teitelbaum, Michael.",2010,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780061878589
6,Batman.    Reptile rampage,"Turner, Katharine.",2012,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780061885211
7,Batman versus Man-Bat,"Bright, J. E.",2012,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780061885235
8,Batman: going ape,"Sutton, Laurie.",2012,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780061885228
9,Batman's friends and foes,"Hapka, Cathy.",2008,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780061561900
10,Transformers. training day   Hunt for the Decepticons:,"Teitelbaum, Michael.",2011,http://chipublib.bibliocommons.com/search?suppress=true&custom_edit=false&custom_query=identifier%3A=9780061991776
